[START OF SIMULATION]
[0x00000000]	call r0,r0,0x00BA   R0=(PC+4)>>2=0x00000000,PC=(R0+0x00BA)<<2=0x000002E8
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00009F98]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x00009F9C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00009FA0]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00009FA4]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00009FA8]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x00009FAC]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00009FB0]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00009FB4]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00009FB8]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x00009FBC]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00009FC0]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00009FC4]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00009FC8]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x00009FCC]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00009FD0]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00009FD4]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00009FD8]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x00009FDC]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00009FE0]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00009FE4]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00009FE8]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x00009FEC]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00009FF0]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00009FF4]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00009FF8]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x00009FFC]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x0000A000]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x0000A004]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x0000A008]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0000A00C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x0000A010]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x0000A014]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x0000A018]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0000A01C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x0000A020]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x0000A024]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x0000A028]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0000A02C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x0000A030]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x0000A034]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x0000A038]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0000A03C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x0000A040]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x0000A044]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x0000A048]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0000A04C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x0000A050]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x0000A054]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x0000A058]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0000A05C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x0000A060]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x0000A064]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x0000A068]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0000A06C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x0000A070]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x0000A074]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x0000A078]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0000A07C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x0000A080]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x0000A084]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x0000A088]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0000A08C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x0000A090]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x0000A094]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x0000A098]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0000A09C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x0000A0A0]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x0000A0A4]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x0000A0A8]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0000A0AC]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x0000A0B0]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x0000A0B4]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x0000A0B8]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0000A0BC]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x0000A0C0]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x0000A0C4]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x0000A0C8]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0000A0CC]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x0000A0D0]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x0000A0D4]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x0000A0D8]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0000A0DC]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x0000A0E0]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x0000A0E4]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x0000A0E8]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0000A0EC]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x0000A0F0]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x0000A0F4]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x0000A0F8]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0000A0FC]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x0000A100]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x0000A104]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x0000A108]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0000A10C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x0000A110]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x0000A114]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x0000A118]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0000A11C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x0000A120]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x0000A124]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x0000A128]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0000A12C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x0000A130]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x0000A134]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x0000A138]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0000A13C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x0000A140]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x0000A144]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x0000A148]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0000A14C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x0000A150]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x0000A154]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x0000A158]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0000A15C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x0000A160]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x0000A164]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x0000A168]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0000A16C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x0000A170]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x0000A174]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x0000A178]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0000A17C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x0000A180]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x0000A184]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x0000A188]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0000A18C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x0000A190]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x0000A194]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x0000A198]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0000A19C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x0000A1A0]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x0000A1A4]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x0000A1A8]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0000A1AC]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x0000A1B0]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x0000A1B4]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x0000A1B8]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0000A1BC]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x0000A1C0]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x0000A1C4]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x0000A1C8]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0000A1CC]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x0000A1D0]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x0000A1D4]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x0000A1D8]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0000A1DC]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x0000A1E0]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x0000A1E4]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x0000A1E8]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0000A1EC]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x0000A1F0]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x0000A1F4]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x0000A1F8]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0000A1FC]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x0000A200]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x0000A204]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x0000A208]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0000A20C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x0000A210]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x0000A214]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x0000A218]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0000A21C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x0000A220]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x0000A224]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x0000A228]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0000A22C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x0000A230]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x0000A234]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x0000A238]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0000A23C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x0000A240]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x0000A244]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x0000A248]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0000A24C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x0000A250]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x0000A254]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x0000A258]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0000A25C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x0000A260]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x0000A264]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x0000A268]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0000A26C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x0000A270]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x0000A274]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x0000A278]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0000A27C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x0000A280]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x0000A284]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x0000A288]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0000A28C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x0000A290]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x0000A294]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x0000A298]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0000A29C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x0000A2A0]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x0000A2A4]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x0000A2A8]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0000A2AC]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x0000A2B0]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x0000A2B4]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x0000A2B8]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0000A2BC]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x0000A2C0]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x0000A2C4]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x0000A2C8]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0000A2CC]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x0000A2D0]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x0000A2D4]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x0000A2D8]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0000A2DC]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x0000A2E0]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x0000A2E4]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x0000A2E8]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0000A2EC]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x0000A2F0]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x0000A2F4]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x0000A2F8]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0000A2FC]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x0000A300]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x0000A304]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x0000A308]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0000A30C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x0000A310]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x0000A314]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x0000A318]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0000A31C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x0000A320]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x0000A324]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x0000A328]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0000A32C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x0000A330]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x0000A334]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x0000A338]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0000A33C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x0000A340]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x0000A344]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x0000A348]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0000A34C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x0000A350]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x0000A354]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x0000A358]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0000A35C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x0000A360]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x0000A364]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x0000A368]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0000A36C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x0000A370]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x0000A374]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x0000A378]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0000A37C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x0000A380]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x0000A384]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x0000A388]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0000A38C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x0000A390]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x0000A394]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x0000A398]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0000A39C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x0000A3A0]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x0000A3A4]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x0000A3A8]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0000A3AC]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x0000A3B0]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x0000A3B4]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x0000A3B8]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0000A3BC]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x0000A3C0]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x0000A3C4]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x0000A3C8]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0000A3CC]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x0000A3D0]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x0000A3D4]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x0000A3D8]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0000A3DC]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x0000A3E0]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x0000A3E4]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x0000A3E8]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0000A3EC]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x0000A3F0]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x0000A3F4]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x0000A3F8]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0000A3FC]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x0000A400]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x0000A404]=0x0000001C
